,name,latitude_deg,longitude_deg,iso_country,iata_code
48919,Thumrait Air Base,17.6660004,54.024601,OM,TTH
48953,Bahawalpur Airport,29.3481007,71.7180023,PK,BHV
48954,Chitral Airport,35.886213,71.799922,PK,CJL
48958,Dera Ghazi Khan Airport,29.9610004,70.4859009,PK,DEA
48959,Dera Ismael Khan Airport,31.9094009,70.8965988,PK,DSK
48961,Faisalabad International Airport,31.3649998,72.9947968,PK,LYP
48962,Gwadar International Airport,25.232391,62.327671,PK,GWD
48963,Gilgit Airport,35.9188004,74.3336029,PK,GIL
48964,Islamabad International Airport,33.549,72.82566,PK,ISB
48965,Shahbaz Air Base,28.2842007,68.4496994,PK,JAG
48968,Jinnah International Airport,24.9065,67.160797,PK,KHI
48977,Allama Iqbal International Airport,31.521601,74.403603,PK,LHE
48980,Mangla Airport,33.0500984,73.6383972,PK,XJM
48981,Muzaffarabad Airport,34.3390007,73.5085983,PK,MFG
48982,Mianwali Air Base,32.5630989,71.5707016,PK,MWD
48983,Moenjodaro Airport,27.3351994,68.1430969,PK,MJD
48988,Minhas Air Base,33.8690987,72.4009018,PK,ATG
48989,Multan International Airport,30.2031994,71.4190979,PK,MUX
48990,Shaheed Benazirabad Airport,26.2194,68.390099,PK,WNS
48995,Panjgur Airport,26.9545002,64.1324997,PK,PJG
48996,Pasni Airport,25.2905006,63.3451004,PK,PSI
48998,Peshawar International Airport,33.9939003,71.5146027,PK,PEW
49000,Quetta International Airport,30.2514,66.9377975,PK,UET
49001,Shaikh Zaid Airport,28.3838997,70.2796021,PK,RYK
49005,Rawalakot Airport,33.8497009,73.7981033,PK,RAZ
49007,Skardu Airport,35.3354988,75.5360031,PK,KDU
49009,Sukkur Airport,27.7220001,68.7917023,PK,SKZ
49010,Sehwan Sharif Airport,26.4731007,67.7172012,PK,SYW
49012,Mushaf Air Base,32.0485992,72.6650009,PK,SGI
49013,Saidu Sharif Airport,34.8135986,72.3527985,PK,SDT
49014,Sialkot International Airport,32.535557,74.363892,PK,SKT
49015,Sui Airport,28.6450996,69.1769028,PK,SUL
49020,Turbat International Airport,25.9864006,63.030201,PK,TUK
49022,Zhob Airport,31.3584003,69.4636002,PK,PZH
49123,Al Asad Air Base,33.7855988,42.4412003,IQ,IQA
49124,Al Taqaddum Air Base,33.3381004,43.5970993,IQ,TQD
49127,Baghdad International Airport / New Al Muthana Air Base,33.262501,44.2346,IQ,BGW
49128,Mosul International Airport,36.305801,43.1474,IQ,OSM
49131,Erbil International Airport,36.2375984,43.9631996,IQ,EBL
49133,Kirkuk Air Base,35.4695015,44.3488998,IQ,KIK
49134,Basra International Airport,30.549101,47.662102,IQ,BSR
49135,Al Najaf International Airport,31.989853,44.404317,IQ,NJF
49136,Qayyarah West Airport,35.7672005,43.1250992,IQ,RQW
49139,Sulaymaniyah International Airport,35.5617485,45.3167381,IQ,ISU
49142,Ali Air Base,30.935801,46.090099,IQ,XNH
49163,Aleppo International Airport,36.180698,37.2244,SY,ALP
49164,Damascus International Airport,33.411499,36.5155983,SY,DAM
49165,Deir ez-Zor Airport,35.2854,40.175999,SY,DEZ
49168,Qamishli Airport,37.020599,41.191399,SY,KAC
49169,Hmeimim Air Base,35.4011,35.9487,SY,LTK
49170,Palmyra Airport,34.5574,38.316898,SY,PMS
49172,Doha International Airport,25.261101,51.565102,QA,DIA
49173,Al Udeid Air Base,25.1173,51.3149986,QA,XJD
49175,Hamad International Airport,25.273056,51.608056,QA,DOH
49182,Aden International Airport,12.8295,45.028801,YE,ADE
49184,Ataq Airport,14.5513,46.826199,YE,AXK
49189,Al Ghaydah International Airport,16.193341,52.174186,YE,AAY
49190,Hodeidah International Airport,14.7530003,42.9762993,YE,HOD
49195,Riyan Mukalla International Airport,14.6626,49.375,YE,RIY
49199,Sana'a International Airport,15.4763002,44.2196999,YE,SAH
49200,Socotra International Airport,12.6307001,53.9057999,YE,SCT
49201,Seiyun Hadhramaut International Airport,15.9661,48.7883,YE,GXF
49202,Ta'izz International Airport,13.6859999,44.1390991,YE,TAI
49204,Zagora Airport,30.263858,-5.853341,MA,OZG
49372,"Warren ""Bud"" Woods Palmer Municipal Airport",61.594898,-149.08901,US,PAQ
49374,Barter Island Long Range Radar Station Airport,70.134003,-143.582001,US,BTI
49375,Bethel Airport,60.7798004,-161.8379974,US,BET
49377,Allen Army Airfield,63.9944992,-145.7220001,US,BIG
49378,Buckland Airport,65.981598,-161.149002,US,BKC
49381,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,US,BRW
49382,Bettles Airport,66.9139023,-151.529007,US,BTT
49385,Cold Bay Airport,55.2061,-162.725006,US,CDB
49390,Scammon Bay Airport,61.8452988,-165.5709991,US,SCM
49394,Merle K (Mudhole) Smith Airport,60.491798,-145.477997,US,CDV
49397,Cape Romanzof LRRS Airport,61.7803001,-166.0390015,US,CZF
49399,Deering Airport,66.069603,-162.766006,US,DRG
49401,Adak Airport,51.883564,-176.642783,US,ADK
49402,Dillingham Airport,59.0447006,-158.5050049,US,DLG
49403,Marshall Don Hunter Sr Airport,61.8642998,-162.026001,US,MLL
49404,Kodiak Airport,57.75,-152.4940033,US,ADQ
49405,Tom Madsen (Dutch Harbor) Airport,53.89881,-166.544996,US,DUT
49407,Elmendorf Air Force Base,61.251709,-149.807097,US,EDF
49410,Cape Newenham LRRS Airport,58.6464005,-162.0630035,US,EHM
49411,Eielson Air Force Base,64.6657028,-147.102005,US,EIL
49413,Emmonak Airport,62.7860985,-164.4909973,US,EMK
49414,Kenai Municipal Airport,60.573101,-151.2449951,US,ENA
49416,Fairbanks International Airport,64.8151016,-147.8560028,US,FAI
49417,Ladd Army Airfield,64.837502,-147.613998,US,FBK
49421,Ambler Airport,67.107043,-157.854308,US,ABL
49426,Edward G. Pitka Sr Airport,64.7361984,-156.9369965,US,GAL
49430,Gulkana Airport,62.155859,-145.454662,US,GKN
49432,Gambell Airport,63.7667999,-171.7330017,US,GAM
49435,Gustavus Airport,58.4253006,-135.7070007,US,GST
